fishID,trial,tank,group,treatment,SL,activity,shelter,thigmotaxis,novel,emergT
37,3,A,CO2,after,36.7,3095.84,19.236,11.264,26.168,26
38,3,B,control,after,33.7,5031.048,22.868,11.308,4.392,0.1
39,3,B,control,after,30.9,1793.404167,47.45,4.120833333,0.6125,80
41,3,D,control,after,32.4,4142.207692,17.60769231,6.653846154,14.12307692,0.1
42,3,D,control,after,34.2,6492.656,29.548,14.728,0.652,64
43,3,B,control,after,37.4,4430.75,2.290909091,16.3,18.45,155
44,3,C,control,after,32.8,4075.536,17.164,5.56,18.536,43
45,3,D,control,after,35.7,899.5473684,55.11052632,4.405263158,0,450
46,3,D,control,after,34.8,,,,,1580
47,3,C,control,after,30.2,615.7304348,59.84782609,0,0,179
48,3,A,control,after,31.7,4178.736,34.76,22.592,0,2
49,3,A,control,after,33,855.9166667,59.49583333,0.329166667,0,60
50,3,B,control,after,37.5,3005.044,35.776,7.732,4.3,5
53,3,D,control,after,32,5391.715385,24.35384615,11.46923077,5.838461538,1
54,3,A,control,after,29.4,4016.868,23.264,9.368,10.376,0.1
55,3,B,control,after,36.1,4238.505,29.665,17.88,1.11,282
56,3,C,control,after,33.4,4006.657692,30.46923077,7.634615385,7.884615385,2
57,3,B,control,after,33.2,6117.428,14.9,20.524,3.82,2
58,3,D,control,after,28.5,5420.557692,23.80769231,9.592307692,8.634615385,1
59,3,D,control,after,32.1,5527.872,28.336,12.436,1.864,7
60,3,A,control,after,33.1,3838.184,8.704,11.564,20.748,2
61,3,B,control,after,31.4,5039.208333,13.4625,23.82916667,3.75,56
62,3,C,control,after,29.9,4276.496154,31.49230769,10.36923077,4.076923077,0.1
63,3,A,control,after,28.5,462.5782609,23.5,1.191304348,34.84782609,130
64,3,D,control,after,28.6,3953.324,32.748,11.656,6.176,71
65,3,C,control,after,36.4,1881.712,40.288,9.4,6.016,47
66,3,B,control,after,34.2,3667.652,49.82,7.252,0.376,7
67,3,D,control,after,31.6,1113.85,59.50769231,0.05,0,31
68,3,C,control,after,37.2,2231.492,27.764,2.024,17.496,35
69,3,D,control,after,34.2,1722.46,35.364,16.568,4.276,38
70,3,A,control,after,31.1,945.1695652,58.89130435,0.452173913,0.052173913,107
71,3,B,control,after,35.5,6507.5875,3.166666667,21.3125,5.375,35
72,3,D,control,after,30.4,3207.8625,41.3375,6.0625,1.9625,117
73,3,A,control,after,30.1,5859.512,32.672,12.052,1.904,0.1
74,3,D,control,after,34.7,2720.95,43.17692308,4.626923077,0.457692308,18
75,3,C,control,after,33.3,1587.046154,53.36538462,1.819230769,1.05,5
76,3,B,control,after,28.7,2818.1,44.75,7.1,0.2,1238
1,4,D,CO2,after,38.2,968.7857143,54.92857143,1.5,0.4,1104
2,4,D,CO2,after,32.2,4660.096154,34.84615385,10.34615385,1.946153846,14
3,4,B,CO2,after,34.1,5464.56087,23.8173913,8.917391304,8.369565217,75
4,4,A,CO2,after,33.9,3622.5,9.068,8.332,31.444,0.1
5,4,D,CO2,after,34.6,4738.28125,42.55,6.975,0.6875,63
6,4,B,CO2,after,31.2,3682.2625,32.225,14.85833333,1.858333333,44
7,4,E,CO2,after,34.4,4478.2625,6.7125,35.67916667,3.604166667,32
8,4,A,CO2,after,36.2,5766.92,11.2,20.704,11.172,0.1
9,4,C,CO2,after,32.4,4621.784615,41.83846154,7.553846154,1.388461538,1
10,4,B,CO2,after,35.5,5973.358333,26.90833333,12.60833333,3.633333333,76
11,4,D,CO2,after,32.2,5388.845833,2.266666667,35.0625,2.904166667,120
12,4,C,CO2,after,28.4,4518.411538,32.11923077,11.65,4.161538462,25
13,4,E,CO2,after,37.9,5117.968,37.38,13.54,2.516,62
14,4,B,CO2,after,34.3,5423.64,11.388,7.548,6.46,0.1
15,4,D,CO2,after,35.8,496.9076923,46.09230769,13.73076923,0,0.1
16,4,A,CO2,after,33.2,3003.116,36.256,8.064,1.584,1
17,4,E,CO2,after,29.2,2209.657692,43.47307692,4.769230769,2.515384615,1
18,4,C,CO2,after,33.8,1406.991667,59.54166667,0.1375,0,132
19,4,A,CO2,after,33.5,3283.62,24.852,19.396,0.608,1
20,4,A,CO2,after,30.6,6123.52,22.084,25.576,0.348,0.1
21,4,C,CO2,after,31.3,5835.361538,20.58076923,12.28846154,10.99615385,29
22,4,D,CO2,after,32.6,2736.441667,46.25,8.745833333,0.233333333,105
23,4,B,CO2,after,32.6,5111.932,31.232,15.188,3.112,1
24,4,A,CO2,after,31.8,2938.278261,38.55652174,4.052173913,4.026086957,110
25,4,E,CO2,after,36,5423.004,14.312,18.532,3.16,27
26,4,D,CO2,after,30.6,3863.276,16.164,16.508,16.816,54
27,4,B,CO2,after,34,777.6,59.436,0.452,0,2
28,4,A,CO2,after,34,2450.930435,41.40869565,12.87391304,1.834782609,111
29,4,A,CO2,after,29.2,3342.256,45.688,4.88,0.628,15
30,4,D,CO2,after,31.6,5327.272,9.004,23.56,2.444,39
31,4,B,CO2,after,34.1,2685.322222,36.36111111,14.78888889,1.605555556,407
32,4,C,CO2,after,36.2,835.4807692,59.97692308,0,0,2
33,4,C,CO2,after,30.8,1121.876,52.72,1.376,3.3,37
34,4,D,CO2,after,31.9,1700.842308,48.63846154,4.088461538,1.861538462,0.1
